index,key,english,thai,status,notes
1456,NewsAndReports/RepCons_Mannequin,"During the experiment, a brief blackout was recorded, during which objects visually identical to mannequins were moved into the isolation ward. The status of the test subjects is unknown. A detailed study of the objects is required, after which a decision will be made about their disposal or storage at [redacted] or [redacted].",ระหว่างการทดลองเกิดไฟดับชั่วขณะ และมีวัตถุซึ่งมองดูเหมือนหุ่นจำลองทุกประการถูกเคลื่อนย้ายเข้ามาในห้องกักกัน ไม่ทราบสถานะของผู้ถูกทดลอง ต้องศึกษาวัตถุอย่างละเอียด ก่อนตัดสินใจว่าจะกำจัดหรือจัดเก็บไว้ที่ [redacted] หรือ [redacted],draft,
1457,NewsAndReports/RepCons_LightningBall,"During the experiment, a momentary voltage surge occurred in the Tesla Globe circuit, resulting in the destruction of the stabilizing coils, a breach in the insulating dome, and the subsequent uncontrolled release of the energy sphere into the isolation ward. Contact with the energy sphere must be avoided until it has discharged naturally.",ระหว่างการทดลอง เกิดแรงดันไฟฟ้ากระชากชั่วขณะในวงจรลูกโลกเทสลา ส่งผลให้ขดลวดรักษาเสถียรภาพถูกทำลาย โดมฉนวนแตก และทรงกลมพลังงานถูกปล่อยเข้าสู่ห้องกักกันโดยไม่สามารถควบคุมได้ ต้องหลีกเลี่ยงการสัมผัสทรงกลมพลังงานจนกว่าจะคายประจุเองตามธรรมชาติ,draft,
1458,NewsAndReports/RepCons_FireTornado,"During the experiment, thermal vortices of unknown origin formed. A detailed study of this phenomenon and its subsequent elimination is required. When collecting the remains of the test subjects, make sure to avoid dispersing or mixing them.",ระหว่างการทดลอง เกิดกระแสหมุนวนความร้อนซึ่งไม่ทราบต้นกำเนิด ต้องศึกษาปรากฏการณ์นี้อย่างละเอียดและกำจัดในภายหลัง ขณะเก็บซากผู้ถูกทดลอง โปรดระวังไม่ให้ซากกระจายหรือปะปนกัน,draft,
1459,NewsAndReports/RepCons_Petrified,"The experiment was interrupted due to the petrification of the subjects. According to the lab technician on duty, the culprit was, quote, ""some kind of magic man in a robe, shouting 'petrificus' and shooting bright beams from his wand."" Before sending the subjects to [redacted], all necessary tests (including blood and drug screening for the technician) must be performed.","การทดลองถูกระงับเนื่องจากผู้ถูกทดลองกลายเป็นหิน ตามคำให้การของช่างเทคนิคประจำห้อง ผู้ก่อเหตุคือ ""ชายใช้เวทมนตร์ในชุดคลุม ตะโกนว่า 'เพทริฟิคัส' และยิงลำแสงสว่างจากไม้กายสิทธิ์"" ก่อนส่งผู้ถูกทดลองไปยัง [redacted] ต้องดำเนินการตรวจที่จำเป็นทั้งหมด (รวมถึงการตรวจเลือดและสารเสพติดของช่างเทคนิค)",draft,
1460,NewsAndReports/RepCons_Agent,Warning: The arithmetic test triggered the activation of a sleeper agent (subject under the fictitious name [redacted])! A neuroprogrammer from Section 48-91 of the Orwellian Foreign Intelligence Service is suspected of being involved. You are to exercise extreme caution until security eliminates the agent.,คำเตือน: การทดสอบเลขคณิตกระตุ้นให้สายลับหลับใหล (ผู้ถูกทดลองภายใต้นามสมมติ [redacted]) เริ่มปฏิบัติการ! คาดว่านักเขียนโปรแกรมประสาทจากแผนก 48-91 ของหน่วยข่าวกรองต่างประเทศออร์เวลเลียนมีส่วนเกี่ยวข้อง โปรดใช้ความระมัดระวังอย่างยิ่งจนกว่าฝ่ายรักษาความปลอดภัยจะกำจัดสายลับได้,draft,
1461,NewsAndReports/RepCons_NightLongKnives,"During the experiment, a conflict arose among the subjects over a discussion of recent sporting events. The research team made the decision not to involve security and continued the experiment. The conflict quickly escalated into a violent brawl, resulting in the death of all subjects from their injuries.",ระหว่างการทดลอง เกิดความขัดแย้งในกลุ่มผู้ถูกทดลองจากการถกเถียงเรื่องการแข่งขันกีฬาล่าสุด ทีมวิจัยตัดสินใจไม่เรียกฝ่ายรักษาความปลอดภัยและดำเนินการทดลองต่อ ความขัดแย้งทวีความรุนแรงอย่างรวดเร็วจนกลายเป็นการตะลุมบอน ส่งผลให้ผู้ถูกทดลองทั้งหมดเสียชีวิตจากบาดแผล,draft,
1462,Правила /Для Китайского и Корейского фонетическая транслитерация иероглифами.,,,untranslated,
1463,Правила /Для Японского транслитерация катаканой,,,untranslated,
1464,"Правила /Если в названии есть общипринятые термины типа Восточная, Западная, Европа, Америка и тд - Неоригинальную часть переводить, остальную транслитерировать с легкой шлифовкой по необходимости.",,,untranslated,
1465,Правила /Для Китайского и Корейского фонетическая транслитерация иероглифами.,,,untranslated,
1466,Правила /Для Японского транслитерация катаканой,,,untranslated,
1467,"Правила /Если в названии есть общипринятые термины типа Восточная, Западная, Европа, Америка и тд - Неоригинальную часть переводить, остальную транслитерировать с легкой шлифовкой по необходимости.",,,untranslated,
1468,NewsAndReports/RandomNews_3,MYSTERIOUS DISAPPEARANCE IN AN OLD MANSION,บุคคลหายตัวอย่างลึกลับในคฤหาสน์เก่า,draft,
1469,NewsAndReports/HeadlinerNews_Desease1,THREE THOUSAND PEOPLE MANIFEST SYMPTOMS OF AN UNKNOWN DISEASE,ประชาชนสามพันคนแสดงอาการของโรคไม่ทราบชนิด,draft,
1470,NewsAndReports/HeadlinerNews_Day1,MAN MIRACULOUSLY SURVIVES ENCOUNTER WITH PHANTOM HOUND,ชายรอดชีวิตอย่างปาฏิหาริย์หลังเผชิญหน้าสุนัขล่าเนื้อปีศาจ,draft,
1471,NewsAndReports/RepAfterRedStatus1,"The consequences of the incident in the isolation ward have been successfully eliminated. During the cleanup, [redacted] occurred, as a result of which junior employee [redacted] was hospitalized with moderate injury. The isolation ward is now fully functional.",ผลกระทบจากเหตุการณ์ในห้องกักกันได้รับการแก้ไขเรียบร้อยแล้ว ระหว่างการทำความสะอาดเกิด [redacted] ส่งผลให้เจ้าหน้าที่ระดับต้น [redacted] ต้องเข้ารับการรักษาในโรงพยาบาลด้วยอาการบาดเจ็บปานกลาง ขณะนี้ห้องกักกันกลับมาทำงานได้เต็มรูปแบบ,draft,
1472,Правила /Для Китайского и Корейского фонетическая транслитерация иероглифами.,,,untranslated,
1473,Правила /Для Японского транслитерация катаканой,,,untranslated,
1474,"Правила /Если в названии есть общипринятые термины типа Восточная, Западная, Европа, Америка и тд - Неоригинальную часть переводить, остальную транслитерировать с легкой шлифовкой по необходимости.",,,untranslated,
1475,Правила /Для Китайского и Корейского фонетическая транслитерация иероглифами.,,,untranslated,
1476,Правила /Для Японского транслитерация катаканой,,,untranslated,
1477,"Правила /Если в названии есть общипринятые термины типа Восточная, Западная, Европа, Америка и тд - Неоригинальную часть переводить, остальную транслитерировать с легкой шлифовкой по необходимости.",,,untranslated,
1478,Hints/Tutor_070,Select what to do with the character,เลือกว่าจะจัดการตัวละครอย่างไร,draft,
1479,Правила /Для Китайского и Корейского фонетическая транслитерация иероглифами.,,,untranslated,
1480,Правила /Для Японского транслитерация катаканой,,,untranslated,
1481,"Правила /Если в названии есть общипринятые термины типа Восточная, Западная, Европа, Америка и тд - Неоригинальную часть переводить, остальную транслитерировать с легкой шлифовкой по необходимости.",,,untranslated,
1482,NewsAndReports/RandomNews_4,Who Turned Off The Moon? Scientists Are Baffled!,ใครปิดดวงจันทร์? นักวิทยาศาสตร์ต่างงุนงง!,draft,
1483,NewsAndReports/RandomNews_5,Radio Waves Change Memories. Remember This!,คลื่นวิทยุเปลี่ยนความทรงจำ จำเรื่องนี้ไว้!,draft,
1484,NewsAndReports/RandomNews_6,Tunnels Found Beneath The City. Where Do They Lead?,พบอุโมงค์ใต้เมือง แล้วมันนำไปสู่ที่ใด?,draft,
1485,NewsAndReports/RandomNews_7,Sociological Survey Showed: It Was Potatoes After All!,ผลสำรวจทางสังคมเผย: สรุปแล้วเป็นมันฝรั่งจริง ๆ!,draft,
1486,NewsAndReports/RandomNews_8,Cameras Looking In — A New Invention!,กล้องที่มองเข้ามา — สิ่งประดิษฐ์ใหม่!,draft,
1487,NewsAndReports/RandomNews_9,The Secret Department Is Here! Nobody Knows Why...,หน่วยงานลับมาถึงแล้ว! ไม่มีใครรู้ว่ามาทำไม...,draft,
1488,NewsAndReports/RandomNews_10,The Truth About Garden Gnomes Is Classified Again!,ความจริงเกี่ยวกับตุ๊กตาคนแคระในสวนถูกปิดเป็นความลับอีกครั้ง!,draft,
1489,NewsAndReports/RandomNews_11,Suspect Your Neighbor Of Spying? Keep An Eye Out!,สงสัยว่าเพื่อนบ้านเป็นสายลับ? จับตาดูไว้!,draft,
1490,NewsAndReports/RandomNews_12,Authorities Are Hiding The Second Dawn!,ทางการกำลังปกปิดรุ่งอรุณครั้งที่สอง!,draft,
1491,NewsAndReports/RandomNews_13,Do Not Feed Antennas! Wear Tinfoil Hats!,ห้ามให้อาหารเสาอากาศ! อย่าลืมสวมหมวกฟอยล์!,draft,
1492,NewsAndReports/RandomNews_14,Mushroom Cult: Fact Or Fiction?,ลัทธิเห็ด: เรื่องจริงหรือเรื่องแต่ง?,draft,
1493,NewsAndReports/RandomNews_15,Mushrooms Demand Silence! Read Full Ranger Account,เหล่าเห็ดเรียกร้องความเงียบ! อ่านคำบอกเล่าฉบับเต็มจากเจ้าหน้าที่พิทักษ์ป่า,draft,
1494,NewsAndReports/RandomNews_16,Record Chickpea Harvest! Count Your Chicks And Peas!,ผลผลิตถั่วลูกไก่สูงเป็นประวัติการณ์! อย่าลืมนับลูกไก่กับเมล็ดถั่ว!,draft,
1495,NewsAndReports/RandomNews_17,Spores Spread Downtown! Be Careful Breathing!,สปอร์แพร่กระจายในใจกลางเมือง! ระวังเวลาหายใจ!,draft,
1496,NewsAndReports/RandomNews_18,Mycelium Defeats Concrete: An Unlikely Foreman's Story,เส้นใยเห็ดเอาชนะคอนกรีต: เรื่องเหลือเชื่อจากหัวหน้าคนงาน,draft,
1497,NewsAndReports/RandomNews_19,Forest Chooses New Priests: Live Report,ป่าเลือกนักบวชชุดใหม่: รายงานสด,draft,
1498,NewsAndReports/RandomNews_20,Do Not Eat Singing Mushrooms! New Ranger Revelations,ห้ามกินเห็ดร้องเพลง! การเปิดเผยครั้งใหม่จากเจ้าหน้าที่พิทักษ์ป่า,draft,
1499,NewsAndReports/RandomNews_21,Ranger Warns: The Great Mushroom Has Awakened...,เจ้าหน้าที่พิทักษ์ป่าเตือน: มหาเห็ดตื่นขึ้นแล้ว...,draft,
1500,NewsAndReports/RandomNews_22,Humanity Confirms Sentience In Mushrooms (But Not Vice Versa),มนุษยชาติยืนยันว่าเห็ดมีสติปัญญา (แต่เห็ดยังไม่ยืนยันว่ามนุษย์มี),draft,
1501,NewsAndReports/RandomNews_23,Everyone Has Heard The Mushrooms Singing! A Note on Hallucinogenics,ทุกคนได้ยินเสียงเห็ดร้องเพลง! หมายเหตุว่าด้วยสารหลอนประสาท,draft,
1502,NewsAndReports/RandomNews_24,Magic Requires Batteries: A New Startup!,เวทมนตร์ต้องใช้แบตเตอรี่: สตาร์ตอัปแห่งใหม่!,draft,
1503,NewsAndReports/RandomNews_25,Bug-Free Spells! Archmage Updates The Firmware,คาถาปลอดบั๊ก! จอมเวทอัปเดตเฟิร์มแวร์,draft,
1504,NewsAndReports/RandomNews_26,All Runes Digitized. Is Rollback Possible?,รูนทั้งหมดถูกแปลงเป็นดิจิทัล ย้อนเวอร์ชันได้หรือไม่?,draft,
1505,NewsAndReports/RandomNews_27,Water Tower Connects To Wi-Fi,หอเก็บน้ำเชื่อมต่อ Wi-Fi แล้ว,draft,
1506,NewsAndReports/RandomNews_28,The Server Has Blessed The Priests. Will This Help?,เซิร์ฟเวอร์ประทานพรให้นักบวช แล้วจะช่วยได้ไหม?,draft,
1507,NewsAndReports/RandomNews_29,Cables Are Stronger Than Amulets: More On Routing...,สายเคเบิลแข็งแกร่งกว่าเครื่องราง: เจาะลึกเรื่องการกำหนดเส้นทาง...,draft,
1508,NewsAndReports/RandomNews_30,Technomancers Shape Fate: Fact Or Fiction?,เทคโนแมนเซอร์กำหนดชะตากรรม: เรื่องจริงหรือเรื่องแต่ง?,draft,
1509,NewsAndReports/RandomNews_31,Man Escapes Certain Death. For How Long?,ชายหนีรอดจากความตายที่แน่นอน แล้วจะรอดได้นานแค่ไหน?,draft,
1510,NewsAndReports/RandomNews_32,Implants Are Out. What Goes In?,อุปกรณ์ฝังร่างกายตกยุค แล้วอะไรจะมาแทน?,draft,
1511,NewsAndReports/RandomNews_33,Robot Demands Vacation. Will It Get A Power Bank?,หุ่นยนต์เรียกร้องวันหยุด จะได้พาวเวอร์แบงก์หรือไม่?,draft,
1512,NewsAndReports/RandomNews_34,Do Not Trust Elevators! Seriously!,อย่าไว้ใจลิฟต์! พูดจริงนะ!,draft,
1513,NewsAndReports/RandomNews_35,Drone Steals Pigeon. The Search Continues...,โดรนขโมยนกพิราบ การค้นหายังคงดำเนินต่อไป...,draft,
1514,NewsAndReports/RandomNews_36,Hacker Installs Doom On A Traffic Light,แฮกเกอร์ติดตั้ง Doom ลงบนสัญญาณไฟจราจร,draft,
1515,NewsAndReports/RandomNews_37,Fantastic News: Cybercat Found Alive!,ข่าวดีเหลือเชื่อ: พบแมวไซเบอร์ยังมีชีวิต!,draft,
1516,NewsAndReports/RandomNews_38,Brain Chips Cause Insomnia. Will An Update Help?,ชิปสมองทำให้นอนไม่หลับ อัปเดตแล้วจะช่วยได้ไหม?,draft,
1517,NewsAndReports/RandomNews_39,Clock Goes Backwards Again. What Could This Mean?,นาฬิกาเดินถอยหลังอีกครั้ง นี่อาจหมายความว่าอย่างไร?,draft,
1518,NewsAndReports/RandomNews_40,Mirrors Locked In Dispute: Who Is The Fairest Of Them All?,กระจกถกเถียงกันไม่จบ: ใครงามเลิศในปฐพี?,draft,
1519,NewsAndReports/RandomNews_41,"Ghost Rents A Castle, Funding Sources Questioned",ผีเช่าปราสาท แหล่งเงินทุนยังน่าสงสัย,draft,
1520,NewsAndReports/RandomNews_42,"Witch Opens A Pharmacy, Faces Licensing Controversy",แม่มดเปิดร้านขายยา เผชิญข้อถกเถียงเรื่องใบอนุญาต,draft,
1521,NewsAndReports/RandomNews_43,House Disappears Overnight. Where Is It Now?,บ้านหายไปในชั่วข้ามคืน ตอนนี้อยู่ที่ไหน?,draft,
1522,NewsAndReports/RandomNews_44,"Raven Knows The Password, But What For?",อีกาจำรหัสผ่านได้ แต่เป็นรหัสของอะไร?,draft,
1523,NewsAndReports/RandomNews_45,"Dreams Are Evidence, And Snoring Is Aggravating",ความฝันถือเป็นหลักฐาน ส่วนการกรนเป็นเหตุเพิ่มโทษ,draft,
1524,NewsAndReports/RandomNews_46,The Ministry Of Health Approves Of Necromancy,กระทรวงสาธารณสุขรับรองศาสตร์คืนชีพ,draft,
1525,NewsAndReports/RandomNews_47,Immortality Tax Abolished: Who Benefits?,ยกเลิกภาษีความเป็นอมตะ ใครได้ประโยชน์?,draft,
1526,NewsAndReports/RandomNews_48,AI Deems Ghosts Legal. What Does This Mean?,AI ตัดสินว่าผีถูกกฎหมาย แล้วนี่หมายความว่าอย่างไร?,draft,
1527,NewsAndReports/RandomNews_49,Pentagrams Are Going Digital. Why?,ดาวห้าแฉกกำลังเข้าสู่ยุคดิจิทัล เพราะอะไร?,draft,
1528,NewsAndReports/RandomNews_50,It's Now Official: Crypto Is Cursed,ประกาศอย่างเป็นทางการ: คริปโตต้องคำสาป,draft,
1529,NewsAndReports/RandomNews_51,Server Off To The Astral Plane: Which Drum Can Help?,เซิร์ฟเวอร์หลุดไปยังมิติวิญญาณ: กลองใบไหนช่วยได้?,draft,
1530,NewsAndReports/RandomNews_52,Exorcist Loses To Algorithm: New Exorcism Record,หมอผีแพ้อัลกอริทึม: สถิติใหม่แห่งการไล่ผี,draft,
1531,NewsAndReports/RandomNews_53,Flying Dutchman Crew Pushes Back Against Remote Work,ลูกเรือฟลายอิงดัตช์แมนคัดค้านการทำงานทางไกล,draft,
1532,Rorschach/,,,untranslated,
1533,Rorschach/TestStartDialogue_1,These blots look interesting!,รอยหมึกพวกนี้ดูน่าสนใจดี!,draft,
1534,Rorschach/TestStartDialogue_2,Did someone spill coffee here?,มีใครทำกาแฟหกไว้ตรงนี้หรือเปล่า?,draft,
1535,Rorschach/TestStartDialogue_3,It doesn't look like anything to me.,สำหรับฉันมันดูไม่เหมือนอะไรเลย,draft,
1536,Rorschach/TestStartDialogue_4,These blots look interesting!,รอยหมึกพวกนี้ดูน่าสนใจดี!,draft,
1537,Rorschach/TestStartDialogue_5,These things creep me out...,ของพวกนี้ทำฉันขนลุก...,draft,
1538,Rorschach/TestStartDialogue_6,Sometimes a cigar is just a cigar...,บางครั้งซิการ์ก็เป็นแค่ซิการ์...,draft,
1539,Rorschach/TestStartDialogue_7,Is this some kind of contemporary art?,นี่คือศิลปะร่วมสมัยอะไรสักอย่างหรือเปล่า?,draft,
1540,Rorschach/TestStartDialogue_8,What are these strange things?,ของประหลาดพวกนี้คืออะไร?,draft,
1541,Rorschach/TestStartDialogue_9,I'm not locked in here with you...,ฉันไม่ได้ถูกขังอยู่ในนี้กับคุณ...,draft,
1542,Rorschach/TestStartDialogue_10,These blots look like...blots!,รอยหมึกพวกนี้ดูเหมือน...รอยหมึก!,draft,
1543,Rorschach/TestReplyVariant_1,Red Bridge,สะพานสีแดง,draft,
1544,Rorschach/TestReplyVariant_2,Blue Boat,เรือสีฟ้า,draft,
1545,Rorschach/TestReplyVariant_3,White Wolf,หมาป่าสีขาว,draft,
1546,Rorschach/TestReplyVariant_4,Black Raven,อีกาสีดำ,draft,
1547,Rorschach/TestReplyVariant_5,Green Bug,แมลงสีเขียว,draft,
1548,Rorschach/TestReplyVariant_6,Yellow House,บ้านสีเหลือง,draft,
1549,Rorschach/TestReplyVariant_7,Red Flower,ดอกไม้สีแดง,draft,
1550,Rorschach/TestReplyVariant_8,Gray Robot,หุ่นยนต์สีเทา,draft,
1551,Rorschach/TestReplyVariant_9,Golden Throne,บัลลังก์ทองคำ,draft,
1552,Rorschach/TestReplyVariant_10,Silver Sword,ดาบเงิน,draft,
1553,Rorschach/TestReplyVariant_11,Gray Blot,รอยหมึกสีเทา,draft,
1554,Rorschach/TestReplyVariant_12,Creepy Forest,ป่าน่าขนลุก,draft,
1555,Rorschach/TestReplyVariant_13,Creepy Clown,ตัวตลกน่าขนลุก,draft,
1556,Rorschach/TestReplyVariant_14,Black Cat,แมวดำ,draft,
1557,Rorschach/TestReplyVariant_15,Good Man,คนดี,draft,
1558,Rorschach/TestReplyVariant_16,Bad Wolf,หมาป่าชั่วร้าย,draft,
1559,Rorschach/TestReplyVariant_17,Sleepy Raven,อีกาง่วงนอน,draft,
1560,Rorschach/TestReplyVariant_18,Still Water,น้ำนิ่ง,draft,
1561,Rorschach/TestReplyVariant_19,Abandoned House,บ้านร้าง,draft,
1562,Rorschach/TestReplyVariant_20,Lonely Lighthouse,ประภาคารโดดเดี่ยว,draft,
1563,Rorschach/TestReplyVariant_21,Dark Castle,ปราสาทมืด,draft,
1564,Rorschach/TestReplyVariant_22,Black Tower,หอคอยสีดำ,draft,
1565,Rorschach/TestReplyVariant_23,Gingerbread House,บ้านขนมปังขิง,draft,
1566,Rorschach/TestReplyVariant_24,Black Moon,ดวงจันทร์สีดำ,draft,
1567,Rorschach/TestReplyVariant_25,Yellow Cat,แมวสีเหลือง,draft,
1568,Rorschach/TestReplyVariant_26,Man in a Forest,ชายในป่า,draft,
1569,Rorschach/TestReplyVariant_27,Man in Water,ชายในน้ำ,draft,
1570,Rorschach/TestReplyVariant_28,Fish in Space,ปลาในอวกาศ,draft,
1571,Rorschach/TestReplyVariant_29,White Throne,บัลลังก์สีขาว,draft,
1572,Rorschach/TestReplyVariant_30,Fire Spirit,วิญญาณแห่งไฟ,draft,
1573,Rorschach/TestReplyVariant_31,Honey Forest,ป่าน้ำผึ้ง,draft,
1574,Rorschach/TestReplyVariant_32,Foggy Bridge,สะพานในหมอก,draft,
1575,Rorschach/TestReplyVariant_33,Space Bridge,สะพานอวกาศ,draft,
1576,Rorschach/TestReplyVariant_34,Gray Raven,อีกาสีเทา,draft,
1577,Rorschach/TestReplyVariant_35,Black Water,น้ำสีดำ,draft,
1578,Rorschach/TestReplyVariant_36,Scary Wolf,หมาป่าน่ากลัว,draft,
1579,Rorschach/TestReplyVariant_37,Deer in a Forest,กวางในป่า,draft,
1580,Rorschach/TestReplyVariant_38,Polar Bear,หมีขั้วโลก,draft,
1581,Rorschach/TestReplyVariant_39,Green Flame,เปลวไฟสีเขียว,draft,
1582,Rorschach/TestReplyVariant_40,Stone Mushroom,เห็ดหิน,draft,
1583,Rorschach/TestReplyVariant_41,Funny Water,น้ำชวนขำ,draft,
1584,Rorschach/TestReplyVariant_42,Gloomy Flower,ดอกไม้หม่นหมอง,draft,
1585,Rorschach/TestReplyVariant_43,Ugly Water,น้ำอัปลักษณ์,draft,
1586,Rorschach/TestReplyVariant_44,Red Bear,หมีสีแดง,draft,
1587,Rorschach/TestReplyVariant_45,Honey Cake,เค้กน้ำผึ้ง,draft,
1588,Rorschach/TestReplyVariant_46,Apple Pie,พายแอปเปิล,draft,
1589,Rorschach/TestReplyVariant_47,Mushroom Soup,ซุปเห็ด,draft,
1590,Rorschach/TestReplyVariant_48,Yellow House,บ้านสีเหลือง,draft,
1591,Rorschach/TestReplyVariant_49,Kombucha,คอมบูชา,draft,
1592,Rorschach/TestReplyVariant_50,Sweet Bread,ขนมปังหวาน,draft,
1593,Rorschach/TestReplyVariant_51,Autumn Soup,ซุปฤดูใบไม้ร่วง,draft,
1594,Rorschach/TestReplyVariant_52,Berry Bush,พุ่มเบอร์รี,draft,
1595,Rorschach/TestReplyVariant_53,Nut Forest,ป่าถั่ว,draft,
1596,Rorschach/TestReplyVariant_54,Beautiful Cat,แมวแสนสวย,draft,
1597,Rorschach/TestReplyVariant_55,Black Forest,ป่าดำ,draft,
1598,Rorschach/TestReplyVariant_56,Old Car,รถยนต์เก่า,draft,
1599,Rorschach/TestReplyVariant_57,Fast Train,รถไฟความเร็วสูง,draft,
1600,Rorschach/TestReplyVariant_58,Rusty Plane,เครื่องบินขึ้นสนิม,draft,
1601,Rorschach/TestReplyVariant_59,Magic Plane,เครื่องบินวิเศษ,draft,
1602,Rorschach/TestReplyVariant_60,Battle Rifle,ปืนไรเฟิลจู่โจม,draft,
1603,Rorschach/TestReplyVariant_61,Steam Car,รถพลังไอน้ำ,draft,
1604,Rorschach/TestReplyVariant_62,Flying House,บ้านบินได้,draft,
1605,Rorschach/TestReplyVariant_63,Big Boat,เรือลำใหญ่,draft,
1606,Rorschach/TestReplyVariant_64,Green Plane,เครื่องบินสีเขียว,draft,
1607,Rorschach/TestReplyVariant_65,Ancient Revolver,ปืนลูกโม่โบราณ,draft,
1608,Rorschach/TestReplyVariant_66,Red Clown,ตัวตลกสีแดง,draft,
1609,Rorschach/TestReplyVariant_67,Black Angel,เทวทูตสีดำ,draft,
1610,Rorschach/TestReplyVariant_68,White Demon,ปีศาจสีขาว,draft,
1611,Rorschach/TestReplyVariant_69,Mirror Spirit,วิญญาณในกระจก,draft,
1612,Rorschach/TestReplyVariant_70,Faceless Man,ชายไร้ใบหน้า,draft,
1613,Rorschach/TestReplyVariant_71,Quiet Ghost,ผีเงียบงัน,draft,
1614,Rorschach/TestReplyVariant_72,Bone Dragon,มังกรกระดูก,draft,
1615,Rorschach/TestReplyVariant_73,Mysterious Forest,ป่าลึกลับ,draft,
1616,Rorschach/TestReplyVariant_74,Stone Man,มนุษย์หิน,draft,
1617,Rorschach/TestReplyVariant_75,Terrifying Wolf,หมาป่าสุดสยอง,draft,
1618,Rorschach/TestReplyVariant_76,Gold Raven,อีกาสีทอง,draft,
1619,Rorschach/TestReplyVariant_77,Strange Man,ชายประหลาด,draft,
1620,Rorschach/TestReplyVariant_78,Old Man,ชายชรา,draft,
1621,Rorschach/TestReplyVariant_79,Young Man,ชายหนุ่ม,draft,
1622,Rorschach/TestReplyVariant_80,Blind Man,ชายตาบอด,draft,
1623,Rorschach/TestReplyVariant_81,Good Man,คนดี,draft,
1624,Rorschach/TestReplyVariant_82,Merry Man,ชายร่าเริง,draft,
1625,Rorschach/TestReplyVariant_83,Cunning Man,ชายเจ้าเล่ห์,draft,
1626,Rorschach/TestReplyVariant_84,Sleepy Man,ชายง่วงนอน,draft,
1627,Rorschach/TestReplyVariant_85,Homeless Man,ชายไร้บ้าน,draft,
1628,Rorschach/TestReplyVariant_86,Silent Man,ชายเงียบขรึม,draft,
1629,Rorschach/TestReplyVariant_87,Tired Man,ชายเหนื่อยล้า,draft,
1630,Rorschach/TestReplyVariant_88,Mysterious Man,ชายลึกลับ,draft,
1631,Rorschach/TestReplyVariant_89,Flying Fish,ปลาบินได้,draft,
1632,Rorschach/TestReplyVariant_90,Dancing House,บ้านเต้นรำ,draft,
1633,Rorschach/TestReplyVariant_91,Singing Stone,ก้อนหินร้องเพลง,draft,
1634,Rorschach/TestReplyVariant_92,Smiling Bug,แมลงยิ้ม,draft,
1635,Rorschach/TestReplyVariant_93,Black Bug,แมลงสีดำ,draft,
1636,Rorschach/TestReplyVariant_94,Golden Robot,หุ่นยนต์สีทอง,draft,
1637,Rorschach/TestReplyVariant_95,Running Forest,ป่าวิ่งได้,draft,
1638,Rorschach/TestReplyVariant_96,Talking Mushroom,เห็ดพูดได้,draft,
1639,Rorschach/TestReplyVariant_97,Laughing Bridge,สะพานหัวเราะ,draft,
1640,Rorschach/TestReplyVariant_98,Leaping Train,รถไฟกระโดด,draft,
1641,Rorschach/TestReplyVariant_99,Little Dragon,มังกรน้อย,draft,
1642,Rorschach/TestReplyVariant_100,Toy House,บ้านของเล่น,draft,
1643,Rorschach/TestReplyVariant_101,Plush Wolf,ตุ๊กตาหมาป่า,draft,
1644,Rorschach/TestReplyVariant_102,Paper Bug,แมลงกระดาษ,draft,
1645,Rorschach/TestReplyVariant_103,Sweet Castle,ปราสาทแสนหวาน,draft,
1646,Rorschach/TestReplyVariant_104,Green Elephant,ช้างสีเขียว,draft,
1647,Rorschach/TestReplyVariant_105,Stone Clown,ตัวตลกหิน,draft,
1648,Rorschach/TestReplyVariant_106,Rainbow Cat,แมวสีรุ้ง,draft,
1649,Rorschach/TestReplyVariant_107,Sleepy Dragon,มังกรง่วงนอน,draft,
1650,Rorschach/TestReplyVariant_108,Expensive Bread,ขนมปังราคาแพง,draft,
1651,Rorschach/TestReplyVariant_109,Stone Orb,ลูกแก้วหิน,draft,
1652,Rorschach/TestReplyVariant_110,Nervous Clown,ตัวตลกประหม่า,draft,
1653,Rorschach/TestReplyVariant_111,Rusty Moon,ดวงจันทร์ขึ้นสนิม,draft,
1654,Rorschach/TestReplyVariant_112,Empty Castle,ปราสาทว่างเปล่า,draft,
1655,Rorschach/TestReplyVariant_113,Broken Bridge,สะพานหัก,draft,
1656,Rorschach/TestReplyVariant_114,Black Smoke,ควันดำ,draft,
1657,Rorschach/TestReplyVariant_115,Dead Forest,ป่าที่ตายแล้ว,draft,
1658,Rorschach/TestReplyVariant_116,Extinguished Lighthouse,ประภาคารดับ,draft,
1659,Rorschach/TestReplyVariant_117,Ugly Man,ชายอัปลักษณ์,draft,
1660,Rorschach/TestReplyVariant_118,Black Revolver,ปืนลูกโม่สีดำ,draft,
1661,Rorschach/TestReplyVariant_119,Naked Pistol,ปืนพกเปลือย,draft,
1662,Rorschach/TestReplyVariant_120,Blue Rifle,ปืนไรเฟิลสีฟ้า,draft,
1663,Rorschach/TestReplyVariant_121,Antique Revolver,ปืนลูกโม่โบราณ,draft,
1664,Rorschach/TestReplyVariant_122,Precise Pistol,ปืนพกแม่นยำ,draft,
1665,Правила /Для Китайского и Корейского фонетическая транслитерация иероглифами.,,,untranslated,
1666,Правила /Для Японского транслитерация катаканой,,,untranslated,
